Variable,Coef,OR,CI_lo,CI_hi,SE,z,p_value,Model,p_fdr,sig_fdr
bloc_MENA,-0.07638651721201091,0.9264580453653685,0.5040068754652974,1.7030015890751822,0.3106014550997862,-0.2459309702443937,0.8057356691489362,gh_last_D,,
bloc_Multi-bloc,-0.8578326174559554,0.4240802310586222,0.33449507107662674,0.5376582733966068,0.12107169248132303,-7.085327708525161,1.3871565108969166e-12,gh_last_D,,
bloc_Other,0.7623792534240197,2.143369778545829,1.0984238057335816,4.182387511635797,0.34107296177895957,2.2352380248719266,0.025401726351765238,gh_last_D,,
bloc_South Asian,0.013080128800861854,1.0131660478878077,0.7213879561569391,1.4229589388504866,0.17329506864798108,0.07547894410908985,0.9398336499074158,gh_last_D,,
bloc_Western,-0.231316036604694,0.7934886549442157,0.6728244935964589,0.9357926941090399,0.08416057597803668,-2.748508240545554,0.00598671300175939,gh_last_D,,
"field_Biochemistry, Genetics and Molecular Biology",-0.3926487646280664,0.6752658832021278,0.5831203494297894,0.7819723895121111,0.07485352961155373,-5.245561120039163,1.5580739583189802e-07,gh_last_D,,
field_Engineering,0.04057051216093824,1.0414047388122094,0.8256000488310524,1.3136189024650344,0.11847721289267327,0.34243303982589846,0.732025027557671,gh_last_D,,
field_Immunology and Microbiology,-0.14255837729348234,0.8671369317075129,0.7467595423158667,1.0069191161578324,0.07625187051679871,-1.8695721997019854,0.06154324880867145,gh_last_D,,
field_Neuroscience,-0.06734624245498284,0.9348714531053031,0.6747378734148383,1.2952950594102535,0.1663697738562107,-0.404798545396765,0.6856255981020856,gh_last_D,,
field_Other,-0.2445476721662949,0.7830586573730143,0.18731807686682272,3.2734740348780114,0.7297956577139719,-0.33509061006518104,0.7375567358958284,gh_last_D,,
"field_Pharmacology, Toxicology and Pharmaceutics",-0.08932463467411302,0.9145486311813172,0.59276385306706,1.411015861490121,0.2212421167310303,-0.4037415479201334,0.6864027836106819,gh_last_D,,
log_author_count,-0.6422218607462132,0.5261221542739587,0.49831225557877884,0.5554840727253813,0.027707407383266568,-23.178706396545515,7.467295130550935e-119,gh_first_E,,
year_centered,0.013887379570843255,1.0139842571656865,0.9697106689443274,1.0602792221510327,0.022778015810484345,0.6096834634933883,0.542071510882991,gh_first_E,,
year_centered_sq,-0.0005477588924739868,0.9994523911000404,0.9982403227261473,1.0006659311733925,0.0006191165469858822,-0.8847427760422585,0.37629537905029564,gh_first_E,,
has_funding_int,-0.1629363521298087,0.8496452648051714,0.7025393135245968,1.0275539917960412,0.09699875760085007,-1.6797777225177652,0.093000571118715,gh_first_E,,
is_oa_int,0.2476655183092563,1.281031378984877,1.1537305757520837,1.42237835109306,0.053400432330218156,4.637893505763018,3.5197804973092768e-06,gh_first_E,,
is_bilateral_int,0.3560829807121625,1.4277260170701334,1.084299254505523,1.8799252801741773,0.14038216875084417,2.53652571320616,0.01119585204343356,gh_first_E,,
bilateral_x_year,0.025252158127030907,1.025573694664252,1.01198947581955,1.039340258292205,0.006803054440626276,3.7118853520017168,0.0002057211708826013,gh_first_E,,
"field_Biochemistry, Genetics and Molecular Biology",-0.03422859981816123,0.9663505718208697,0.8503866167909216,1.0981280857670372,0.06522223969695258,-0.5247995158890644,0.5997225681147786,gh_first_E,,
field_Engineering,-0.04098091373691941,0.9598474496739126,0.7615724767153345,1.2097432021429082,0.11805562305495573,-0.3471322472953491,0.7284919681901383,gh_first_E,,
